,time,f,f2
602,6.0200000000000005,0.0,0.19929585073773298
603,6.03,-0.004,0.19913218460202312
604,6.04,-0.005,0.19893839777596226
605,6.05,0.006999999999999999,0.19871454299820157
606,6.0600000000000005,0.006,0.1984606779525581
607,6.07,0.002,0.1981768652576942
608,6.08,-0.002,0.19786317245600404
609,6.09,-0.006,0.19751967200170223
610,6.1000000000000005,0.008,0.19714644124811928
611,6.11,0.011000000000000001,0.19674356243420824
612,6.12,0.005,0.19631112267026118
613,6.13,0.013000000000000001,0.19584921392283847
614,6.140000000000001,0.002,0.19535793299891552
615,6.15,-0.004,0.19483738152924684
616,6.16,0.0,0.1942876659509507
617,6.17,-0.002,0.19370889748931874
618,6.18,-0.004,0.19310119213885268
619,6.19,-0.009000000000000001,0.1924646706435273
620,6.2,-0.003,0.19179945847629137
621,6.21,0.0,0.19110568581780038
622,6.22,-0.003,0.19038348753439083
623,6.23,-0.011000000000000001,0.1896330031552972
624,6.24,-0.019,0.18885437684911469
625,6.25,-0.013999999999999999,0.18804775739951451
626,6.26,-0.013000000000000001,0.1872132981802106
627,6.2700000000000005,-0.006,0.18635115712918554
628,6.28,0.0,0.18546149672217987
629,6.29,0.003,0.18454448394544637
630,6.3,0.009000000000000001,0.18360029026777547
631,6.3100000000000005,0.006,0.1826290916117973
632,6.32,0.002,0.1816310683245611
633,6.33,-0.003,0.18060640514740134
634,6.34,-0.006999999999999999,0.17955529118509134
